State Abbreviation,Larceny-theft,Property crime,State,City,Burglary,Population 2000,Aggravated assault,Murder and non-negligent manslaughter,Arson,Forcible rape,Violent crime,Motor vehicle theft,County,latitude,longitude
TX,889.0,1221.0,TX,Balch Springs,194.0,19375.0,65.0,1.0,3,22.0,123.0,138.0,Dallas County,32.7287406921387,-96.6227722167969
TX,3255.0,4570.0,TX,Harlingen,1043.0,57564.0,261.0,3.0,21,22.0,353.0,272.0,Cameron County,26.1906337738037,-97.6960983276367
TX,1642.0,1968.0,TX,Round Rock,277.0,61136.0,50.0,0.0,6,23.0,104.0,49.0,Williamson County,30.5082607269287,-97.6788940429688
TX,975.0,1359.0,TX,San Marcos,262.0,34733.0,107.0,1.0,7,25.0,166.0,122.0,Hays County,29.883279800415,-97.9413909912109
TX,1033.0,1553.0,TX,Pearland,402.0,37640.0,66.0,0.0,7,25.0,115.0,118.0,Brazoria County,29.5635623931885,-95.2860412597656
TX,2525.0,3339.0,TX,Pharr,597.0,46660.0,98.0,4.0,5,26.0,190.0,217.0,Hidalgo County,26.1947917938232,-98.1836166381836
TX,4574.0,6285.0,TX,Wichita Falls,1291.0,104197.0,286.0,9.0,64,27.0,491.0,420.0,Wichita County,33.9137077331543,-98.4933853149414
TX,5820.0,6926.0,TX,McAllen,637.0,106414.0,228.0,4.0,23,28.0,383.0,469.0,Hidalgo County,26.2034111022949,-98.2300109863281
TX,1803.0,2376.0,TX,Texarkana,451.0,34782.0,354.0,3.0,18,30.0,462.0,122.0,Bowie County,33.4251251220703,-94.0476913452148
TX,597.0,890.0,TX,Pampa,244.0,17887.0,126.0,0.0,8,31.0,165.0,49.0,Gray County,35.5361557006836,-100.959869384766
TX,2570.0,3760.0,TX,Bryan,1004.0,65660.0,452.0,6.0,35,31.0,589.0,186.0,Brazos County,30.6743679046631,-96.3699645996094
TX,2112.0,2973.0,TX,Victoria,688.0,60603.0,211.0,5.0,1,32.0,337.0,173.0,Victoria County,28.8052673339844,-97.0035934448242
TX,975.0,1403.0,TX,Lufkin,332.0,32709.0,149.0,1.0,2,33.0,221.0,96.0,Angelina County,31.3382453918457,-94.7290954589844
TX,1003.0,1329.0,TX,Cleburne,259.0,26005.0,98.0,1.0,4,34.0,158.0,67.0,Johnson County,32.3476448059082,-97.3866882324219
TX,2150.0,3045.0,TX,Lewisville,508.0,77737.0,105.0,2.0,15,37.0,214.0,387.0,Denton County,33.0462303161621,-96.9941711425781
TX,2192.0,2860.0,TX,College Station,549.0,67890.0,138.0,0.0,0,39.0,210.0,119.0,Brazos County,30.6279792785645,-96.3344039916992
TX,1616.0,2217.0,TX,McKinney,490.0,54369.0,184.0,2.0,23,41.0,264.0,111.0,Collin County,33.1976165771484,-96.6152648925781
TX,3280.0,4313.0,TX,Tyler,842.0,83650.0,407.0,5.0,10,41.0,563.0,191.0,Smith County,32.3512573242188,-95.3010559082031
TX,6642.0,8618.0,TX,Plano,1394.0,222030.0,543.0,4.0,69,42.0,743.0,582.0,Collin County,33.0198402404785,-96.6988830566406
TX,6483.0,8385.0,TX,Brownsville,1377.0,139722.0,648.0,5.0,9,46.0,867.0,525.0,Cameron County,25.9017486572266,-97.4974822998047
TX,2115.0,3233.0,TX,Baytown,789.0,66430.0,164.0,3.0,23,46.0,350.0,329.0,Harris County,29.7355060577393,-94.977424621582
TX,6728.0,9644.0,TX,Irving,1674.0,191615.0,535.0,3.0,36,48.0,850.0,1242.0,Dallas County,32.8140182495117,-96.9488906860352
TX,3395.0,4848.0,TX,Pasadena,1017.0,141674.0,393.0,7.0,33,49.0,620.0,436.0,Harris County,29.6910591125488,-95.2091064453125
TX,5278.0,7884.0,TX,Garland,1889.0,215768.0,300.0,3.0,41,50.0,576.0,717.0,Dallas County,32.9126243591309,-96.6388854980469
TX,3359.0,4557.0,TX,San Angelo,974.0,88439.0,278.0,3.0,20,53.0,396.0,224.0,Tom Green County,31.4637718200684,-100.437042236328
TX,3318.0,4902.0,TX,Longview,1103.0,73344.0,536.0,10.0,49,56.0,719.0,481.0,Gregg County,32.5007095336914,-94.7404937744141
TX,2619.0,3712.0,TX,Midland,861.0,94996.0,234.0,5.0,12,58.0,373.0,232.0,Midland County,31.9973430633545,-102.077911376953
TX,2295.0,3168.0,TX,Denton,664.0,80537.0,204.0,0.0,19,60.0,329.0,209.0,Denton County,33.2148399353027,-97.1330718994141
TX,3460.0,5045.0,TX,Abilene,1282.0,115930.0,375.0,5.0,33,67.0,554.0,303.0,Taylor County,32.4487342834473,-99.7331466674805
TX,4844.0,7479.0,TX,Grand Prairie,1591.0,127427.0,262.0,3.0,25,69.0,490.0,1044.0,Dallas County,32.7459602355957,-96.9977798461914
TX,4869.0,7512.0,TX,Waco,2188.0,113726.0,614.0,9.0,28,72.0,952.0,455.0,McLennan County,31.5493354797363,-97.1466751098633
TX,4525.0,6962.0,TX,Beaumont,1887.0,113866.0,726.0,10.0,33,75.0,1155.0,550.0,Jefferson County,30.0860424041748,-94.1018524169922
TX,3108.0,5471.0,TX,Killeen,2121.0,86911.0,452.0,8.0,44,81.0,787.0,242.0,Bell County,31.117115020752,-97.7277984619141
TX,9661.0,12511.0,TX,Laredo,1643.0,176576.0,814.0,22.0,115,96.0,1198.0,1207.0,Webb County,27.506404876709,-99.5075378417969
TX,8610.0,12373.0,TX,Lubbock,3070.0,199564.0,1691.0,13.0,52,98.0,2169.0,693.0,Lubbock County,33.5778656005859,-101.855163574219
TX,7617.0,11080.0,TX,Amarillo,2412.0,173627.0,1119.0,5.0,93,98.0,1623.0,1051.0,Potter County,35.2219924926758,-101.831298828125
TX,2278.0,3239.0,TX,Galveston,657.0,57247.0,303.0,4.0,7,120.0,593.0,304.0,Galveston County,29.3013458251953,-94.7976989746094
TX,15261.0,19138.0,TX,Corpus Christi,3005.0,277454.0,1414.0,21.0,128,167.0,2070.0,872.0,Nueces County,27.8005847930908,-97.3963775634766
TX,13905.0,19666.0,TX,Arlington,4042.0,332969.0,1632.0,14.0,42,192.0,2728.0,1719.0,Tarrant County,32.7356910705566,-97.1080703735352
TX,24128.0,36473.0,TX,Fort Worth,8998.0,534694.0,2496.0,49.0,233,247.0,4209.0,3347.0,Tarrant County,32.7254104614258,-97.3208541870117
TX,31562.0,41573.0,TX,Austin,7467.0,656562.0,1961.0,20.0,88,319.0,3658.0,2544.0,Travis County,30.267147064209,-97.7430648803711
TX,57377.0,78621.0,TX,San Antonio,14629.0,1144646.0,5023.0,119.0,484,514.0,7977.0,6615.0,Bexar County,29.4241218566895,-98.4936294555664
TX,50009.0,85592.0,TX,Dallas,21653.0,1188580.0,7292.0,187.0,"1,058",665.0,15058.0,13930.0,Dallas County,32.7834587097168,-96.8002853393555
TX,73091.0,121053.0,TX,Houston,26869.0,1953631.0,11648.0,377.0,"1,121",854.0,24250.0,21093.0,Harris County,29.7632884979248,-95.3632736206055
